qid,ndcg@50
0,0.000000
1,1.000000
10,0.183169
100,1.000000
101,0.224244
102,0.613147
103,0.000000
104,0.315465
105,0.386853
106,0.500000
107,0.500000
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.356207
113,0.693426
114,0.630930
115,0.315465
116,1.000000
117,1.000000
118,1.000000
119,0.000000
12,0.000000
120,1.000000
121,0.386853
122,1.000000
123,0.000000
124,0.000000
125,0.500000
126,0.630930
127,1.000000
128,0.000000
129,0.500000
13,0.288909
130,1.000000
131,0.270238
132,0.000000
133,0.630930
134,0.221065
135,0.000000
136,0.000000
137,0.000000
138,1.000000
139,1.000000
14,1.000000
140,0.289065
141,0.187902
142,0.000000
143,0.000000
144,0.000000
145,0.178104
146,1.000000
147,0.208015
148,1.000000
149,0.000000
15,0.000000
150,0.000000
151,1.000000
152,0.205847
153,1.000000
154,0.235409
155,0.000000
156,0.482476
157,0.000000
158,0.289065
159,0.250000
16,1.000000
160,1.000000
161,1.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,1.000000
171,0.831555
172,1.000000
173,0.000000
174,1.000000
175,0.630930
176,0.000000
177,0.255958
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.430677
183,0.630930
184,1.000000
185,0.000000
186,1.000000
187,1.000000
188,0.500000
189,0.500000
19,0.500000
190,0.000000
191,0.630930
192,0.333333
193,0.235409
194,0.000000
195,0.000000
196,1.000000
197,0.244651
198,0.000000
199,0.000000
2,0.613147
20,0.630930
200,0.000000
201,0.356207
202,0.000000
203,0.000000
204,0.386853
205,0.000000
206,1.000000
207,0.000000
208,0.000000
209,1.000000
21,0.000000
210,1.000000
211,0.430677
212,0.262650
213,0.000000
214,0.000000
215,1.000000
216,0.333333
217,0.630930
218,0.000000
219,0.386853
22,0.333333
220,0.430677
221,0.000000
222,0.630930
223,1.000000
224,0.000000
225,1.000000
226,0.185449
227,0.000000
228,0.000000
229,0.190551
23,0.000000
230,0.244651
231,0.000000
232,1.000000
233,0.000000
234,0.190551
235,1.000000
236,0.000000
237,1.000000
238,0.000000
239,0.289065
24,0.000000
240,1.000000
241,0.500000
242,1.000000
243,1.000000
244,0.000000
245,0.630930
246,0.356207
247,1.000000
248,0.630930
249,0.000000
25,0.630930
250,0.000000
251,0.000000
252,0.210310
253,1.000000
254,1.000000
255,1.000000
256,0.500000
257,0.000000
258,0.231378
259,0.235409
26,0.571429
260,0.000000
261,0.000000
262,0.000000
263,0.630930
264,0.196562
265,0.244651
266,1.000000
267,1.000000
268,1.000000
269,0.000000
27,1.000000
270,1.000000
271,0.356207
272,0.181043
273,0.224244
274,1.000000
275,1.000000
276,1.000000
277,0.630930
278,0.000000
279,0.333333
28,0.500000
